Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Duration_format,Genre_format,Producers_format,Studios_format
Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,"Bandai Visual, Kodansha",Production I.G,Manga,1 hr. 22 min.,82,Action,Bandai Visual,Production I.G
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,Aniplex,Studio Deen,Manga,30 min. per ep.,30,Action,Aniplex,Studio Deen
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,"Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",Manga,25 min. per ep.,25,Comedy,Aniplex,Studio Deen
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,1,"Fuji TV, Sony Music Entertainment",Gallop,Manga,1 hr. 31 min.,91,Drama,Fuji TV,Gallop
Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,"Mainichi Broadcasting System, Kodansha, Toho",Tokyo Movie Shinsha,Manga,2 hr. 4 min.,124,Action,Kodansha,Tokyo Movie Shinsha
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,24 min. per ep.,24,Fantasy,Bandai Visual,Bee Train
Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,Manga,30 min. per ep.,30,Comedy,Bandai Visual,AIC
Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,"Bandai Visual, TBS, Imagine",AIC,Manga,24 min. per ep.,24,Comedy,Bandai Visual,AIC
Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,"Bandai Visual, AIC, Lantis, Audio Tanaka",Hal Film Maker,Manga,30 min. per ep.,30,Action,Lantis,Hal Film Maker
Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,TV Tokyo Music,Bones,Manga,24 min. per ep.,24,Comedy,TV Tokyo Music,Bones
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,Manga,23 min. per ep.,23,Comedy,Movic,J.C.Staff
Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1,"Mainichi Broadcasting System, Toho, TYO Animations, TYO",Digital Frontier,Manga,1 hr. 45 min.,105,Action,Mainichi Broadcasting System,Digital Frontier
Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,"Sony Pictures Entertainment, Aniplex",Bee Train,Game,22 min. per ep.,22,Action,Aniplex,Bee Train
Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,Production I.G,"Bee Train, Xebec",Original,24 min. per ep.,24,Fantasy,Production I.G,Xebec
Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Madhouse,Manga,25 min. per ep.,25,Comedy,Kodansha,Madhouse
Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,"Youmex, Toshiba EMI",AIC,Original,23 min. per ep.,23,Drama,Youmex,AIC
Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,"TBS, Pioneer LDC",Madhouse,Manga,24 min. per ep.,24,Comedy,TBS,Madhouse
Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24,"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,23 min. per ep.,23,Action,Lantis,Gonzo
D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,Kadokawa Shoten,Xebec,Manga,23 min. per ep.,23,Comedy,Kadokawa Shoten,Xebec
D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26,"Lantis, King Records","feel., Zexcs",Visual novel,24 min. per ep.,24,Drama,Lantis,feel.
DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,"Bandai Visual, Hal Film Maker, Genco, Lantis",Daume,Manga,23 min. per ep.,23,Comedy,Lantis,Daume
Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",Nomad,Manga,24 min. per ep.,24,Comedy,Pony Canyon,Nomad
Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12,"Mellow Head, TBS",Nomad,Manga,24 min. per ep.,24,Comedy,TBS,Nomad
Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,4-koma manga,24 min. per ep.,24,Comedy,Lantis,J.C.Staff
Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,"GDH, Kodansha, Sotsu Music Publishing",Gonzo,Manga,24 min. per ep.,24,Action,Kodansha,Gonzo
Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,"GDH, Dentsu, TBS, Sotsu Music Publishing",Gonzo,Manga,24 min. per ep.,24,Comedy,Dentsu,Gonzo
Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25,"Bandai Visual, Imagine",Sunrise,Original,24 min. per ep.,24,Action,Bandai Visual,Sunrise
Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,Kadokawa Shoten,Gonzo,Light novel,24 min. per ep.,24,Comedy,Kadokawa Shoten,Gonzo
Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",Kyoto Animation,Light novel,24 min. per ep.,24,Comedy,KlockWorx,Kyoto Animation
Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13,"Kadokawa Shoten, Happinet Pictures",Kyoto Animation,Light novel,24 min. per ep.,24,Action,Kadokawa Shoten,Kyoto Animation
Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26,"Aniplex, Sogo Vision",Group TAC,Manga,25 min. per ep.,25,Comedy,Aniplex,Group TAC
Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,"TV Tokyo Music, King Records",Xebec,Original,24 min. per ep.,24,Action,TV Tokyo Music,Xebec
Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13,"Starchild Records, Omnibus Japan",Seven Arcs,Original,25 min. per ep.,25,Comedy,Starchild Records,Seven Arcs
Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13,"Starchild Records, Omnibus Japan",Seven Arcs,Original,25 min. per ep.,25,Comedy,Starchild Records,Seven Arcs
Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,"Xebec, Lantis, Memory-Tech",Asread,Visual novel,23 min. per ep.,23,Comedy,Lantis,Asread
Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,25 min. per ep.,25,Action,Sotsu,Sunrise
Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,Atelier Musa,Sunrise,Original,25 min. per ep.,25,Drama,Atelier Musa,Sunrise
Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6,Bandai Visual,Sunrise,Original,27 min. per ep.,27,Drama,Bandai Visual,Sunrise
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1,"Sotsu, Atelier Musa",Sunrise,Original,52 min.,52,Drama,Sotsu,Sunrise
Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13,Bandai Visual,Sunrise,Original,30 min. per ep.,30,Drama,Bandai Visual,Sunrise
Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,24,Drama,Sotsu,Sunrise
Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,24,Comedy,Sotsu,Sunrise
Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,"Sotsu, Nozomi Entertainment, Atelier Musa","Sunrise, Studio Hibari",Novel,1 hr. 59 min.,119,Drama,Sotsu,Sunrise
Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,"TV Asahi, Sotsu, Apollon","Sunrise, Studio Deen",Original,24 min. per ep.,24,Drama,Sotsu,Sunrise
Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,TV Asahi,Sunrise,Original,24 min. per ep.,24,Action,TV Asahi,Sunrise
Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,"Bandai Visual, Sotsu",Sunrise,Original,30 min. per ep.,30,Action,Bandai Visual,Sunrise
After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,"TV Asahi, Sotsu",Sunrise,Original,24 min. per ep.,24,Drama,Sotsu,Sunrise
Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",Sunrise,Original,24 min. per ep.,24,Action,Sotsu,Sunrise
Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",Sunrise,Original,24 min. per ep.,24,Action,Sotsu,Sunrise
Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50,"Sotsu, Fuji TV","Sunrise, Nakamura Production",Original,24 min. per ep.,24,Action,Sotsu,Sunrise
Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,"TV Asahi, Sotsu",Sunrise,Original,24 min. per ep.,24,Comedy,Sotsu,Sunrise
Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,26,"GDH, Victor Entertainment, TV Tokyo Music",Gonzo,Original,24 min. per ep.,24,Action,TV Tokyo Music,Gonzo
Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26,"Bandai Visual, TV Tokyo Music, Studio Zain",Sunrise,Original,23 min. per ep.,23,Comedy,Bandai Visual,Sunrise
Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,26,"Bandai Visual, Lantis, TV Tokyo Music",Sunrise,Original,24 min. per ep.,24,Comedy,Lantis,Sunrise
Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13,"Kadokawa Shoten, Rondo Robe",Hal Film Maker,Manga,23 min. per ep.,23,Comedy,Kadokawa Shoten,Hal Film Maker
Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12,"Pony Canyon, TBS, Movic",Kyoto Animation,Visual novel,24 min. per ep.,24,Drama,Movic,Kyoto Animation
Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,26,"Animax, Toei Video, Sunny Side Up",TMS Entertainment,Manga,25 min. per ep.,25,Comedy,Animax,TMS Entertainment
Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74,"Nihon Ad Systems, Shueisha",Gallop,Manga,24 min. per ep.,24,Comedy,Shueisha,Gallop
Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24,Bandai Visual,Studio Pierrot,Manga,21 min. per ep.,21,Comedy,Bandai Visual,Studio Pierrot
Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13,Aniplex,Studio Deen,Manga,24 min. per ep.,24,Comedy,Aniplex,Studio Deen
Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,3,Aniplex,Studio Deen,Manga,30 min. per ep.,30,Comedy,Aniplex,Studio Deen
Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,24,"GDH, TV Asahi, Imagica",Gonzo,Original,23 min. per ep.,23,Comedy,TV Asahi,Gonzo
Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,52,"NHK, Studio Tron",Nippon Animation,Original,25 min. per ep.,25,Comedy,NHK,Nippon Animation
Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,8,m.o.e.,"Imagin, Studio Live",Original,14 min. per ep.,14,Comedy,m.o.e.,Imagin
Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,26,"Starchild Records, TV Tokyo Music",Xebec,Original,23 min. per ep.,23,Action,Starchild Records,Xebec
Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,26,TV Tokyo Music,Production I.G,Manga,12 min. per ep.,12,Comedy,TV Tokyo Music,Production I.G
El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,13,Pioneer LDC,AIC,Original,25 min. per ep.,25,Comedy,Pioneer LDC,AIC
El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,26,"TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa",AIC,Original,23 min. per ep.,23,Comedy,TV Tokyo,AIC
El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",OVA,7,Pioneer LDC,AIC,Original,34 min. per ep.,34,Comedy,Pioneer LDC,AIC
El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",OVA,4,Pioneer LDC,AIC,Original,30 min. per ep.,30,Comedy,Pioneer LDC,AIC
Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,13,Trinet Entertainment,Zexcs,Visual novel,14 min. per ep.,14,Comedy,Trinet Entertainment,Zexcs
Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26,"TV Tokyo, Nihon Ad Systems, King Records",Studio Deen,Manga,24 min. per ep.,24,Comedy,TV Tokyo,Studio Deen
Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Bones,Manga,24 min. per ep.,24,Comedy,Aniplex,Bones
Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52,Nihon Ad Systems,Studio Deen,Manga,24 min. per ep.,24,Comedy,Nihon Ad Systems,Studio Deen
Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon",Studio Pierrot,Manga,23 min. per ep.,23,Comedy,TV Tokyo,Studio Pierrot
Futakoi,6.49,"Comedy, Romance, School",TV,13,Lantis,Telecom Animation Film,Original,24 min. per ep.,24,Comedy,Lantis,Telecom Animation Film
Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,13,Lantis,"ufotable, feel., Studio Flag",Original,24 min. per ep.,24,Comedy,Lantis,feel.
Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24,Media Factory,Gonzo,Game,25 min. per ep.,25,Comedy,Media Factory,Gonzo
Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50,"TV Tokyo, Dentsu, Group TAC",Studio Pierrot,Manga,23 min. per ep.,23,Comedy,TV Tokyo,Studio Pierrot
GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49,"TBS, Kodansha, Rondo Robe, Rakuonsha",Studio Deen,Manga,24 min. per ep.,24,Comedy,Kodansha,Studio Deen
Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12,"Pony Canyon, Memory-Tech, Studio Jack",Studio Matrix,Visual novel,24 min. per ep.,24,Comedy,Pony Canyon,Studio Matrix
Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,13,"Marvelous, Fuji TV",Madhouse,Manga,24 min. per ep.,24,Action,Fuji TV,Madhouse
Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,75,"TV Tokyo, Dentsu, Dream Force",Studio Pierrot,Manga,23 min. per ep.,23,Comedy,TV Tokyo,Studio Pierrot
Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,62,Fuji TV,Nippon Animation,Manga,23 min. per ep.,23,Action,Fuji TV,Nippon Animation
Jinki:Extend,6.14,"Mecha, Sci-Fi",TV,12,"TV Asahi, GANSIS",feel.,Manga,23 min. per ep.,23,Sci-Fi,TV Asahi,feel.
Kannazuki no Miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,12,"Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment",TNK,Manga,24 min. per ep.,24,Drama,Kodansha,TNK
Kanon,7.11,"Drama, Romance, Slice of Life, Supernatural",TV,13,"Movic, Fuji TV, Fujipacific Music",Toei Animation,Visual novel,24 min. per ep.,24,Drama,Movic,Toei Animation
Kareshi Kanojo no Jijou,7.61,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,26,"TV Tokyo, GANSIS","Gainax, J.C.Staff",Manga,24 min. per ep.,24,Comedy,TV Tokyo,J.C.Staff
Kono Minikuku mo Utsukushii Sekai,6.76,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",TV,12,"Geneon Universal Entertainment, TBS, Rondo Robe, Movic","Gainax, Shaft",Original,24 min. per ep.,24,Comedy,Movic,Shaft
Kimi ga Nozomu Eien,7.24,"Drama, Romance, Slice of Life",TV,14,"Lantis, Media Factory, Age",Studio Fantasia,Visual novel,23 min. per ep.,23,Drama,Lantis,Studio Fantasia
Loveless,6.86,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",TV,12,"Bandai Visual, TV Asahi, Movic",J.C.Staff,Manga,24 min. per ep.,24,Action,Bandai Visual,J.C.Staff
Blood+,7.66,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",TV,50,"Aniplex, Mainichi Broadcasting System",Production I.G,Original,24 min. per ep.,24,Action,Aniplex,Production I.G
Re: Cutey Honey,7.12,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",OVA,3,Toei Video,"Gainax, Toei Animation",Manga,46 min. per ep.,46,Comedy,Toei Video,Toei Animation
Solty Rei,7.28,"Action, Sci-Fi, Super Power",TV,24,"AIC, TV Asahi, Sotsu Music Publishing",Gonzo,Original,23 min. per ep.,23,Action,TV Asahi,Gonzo
Juuni Kokuki,8.06,"Action, Adventure, Fantasy, Magic, Supernatural",TV,45,Sogo Vision,Studio Pierrot,Novel,25 min. per ep.,25,Action,Sogo Vision,Studio Pierrot
Shaman King,7.78,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,64,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music",Xebec,Manga,23 min. per ep.,23,Comedy,TV Tokyo,Xebec
X/1999,6.59,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",Movie,1,"Kadokawa Shoten, Victor Entertainment, Marubeni, Movic, Sega, Shelty",Madhouse,Manga,1 hr. 37 min.,97,Action,Movic,Madhouse
X,7.43,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",TV,24,"Bandai Visual, Kadokawa Shoten, d-rights, chara-ani.com",Madhouse,Manga,24 min. per ep.,24,Action,Bandai Visual,Madhouse
Mahou Sensei Negima!,6.98,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",TV,26,Starchild Records,Xebec,Manga,23 min. per ep.,23,Comedy,Starchild Records,Xebec
Maria-sama ga Miteru,7.34,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",TV,13,"Rondo Robe, TV Tokyo Music",Studio Deen,Light novel,24 min. per ep.,24,Drama,TV Tokyo Music,Studio Deen
Boukyaku no Senritsu,6.34,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",TV,24,"Kadokawa Shoten, TBS, KENMedia","Gainax, J.C.Staff",Manga,23 min. per ep.,23,Fantasy,TBS,J.C.Staff
"Ima, Soko ni Iru Boku",7.66,"Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13,"Victor Entertainment, Pioneer LDC, Rakuonsha",AIC,Original,25 min. per ep.,25,Drama,Rakuonsha,AIC
Peace Maker Kurogane,7.33,"Action, Comedy, Historical, Samurai, Shounen",TV,24,"GDH, TV Asahi, Imagica",Gonzo,Manga,24 min. per ep.,24,Comedy,TV Asahi,Gonzo
Pita Ten,6.94,"Comedy, Fantasy, Kids, Romance, School, Shounen",TV,26,Broccoli,Madhouse,Manga,24 min. per ep.,24,Comedy,Broccoli,Madhouse
Power Stone,6.48,"Adventure, Comedy, Fantasy, Historical, Shounen",TV,26,Avex Entertainment,Studio Pierrot,Game,20 min. per ep.,20,Comedy,Avex Entertainment,Studio Pierrot
Mononoke Hime,8.72,"Action, Adventure, Fantasy",Movie,1,"Tokuma Shoten, Nippon Television Network",Studio Ghibli,Original,2 hr. 15 min.,135,Action,Nippon Television Network,Studio Ghibli
RahXephon,7.42,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",TV,26,"Asatsu DK, Fuji TV",Bones,Original,23 min. per ep.,23,Action,Fuji TV,Bones
